,0,1,2,3,4,5,6,7
0,State Name,Total Revenue (Rs crore),Own Tax Revenue (Rs crore),"Stamps, Registration Revenue (Rs crore)",Land Revenue (Rs crore),Urban Immovable Property Tax (Rs crore),Stamp duty as % of own tax revenue,Land revenue as % of own tax revenue
1,Andhra Pradesh,109300,52318,5180,631,200,10%,1%
2,Arunachal Pradesh,12774,671,8,9,-,1%,1%
3,Assam,66180,15634,479,396,-,3%,3%
4,Bihar,124590,29730,3800,330,-,13%,1%
5,Chhattisgarh,61427,21964,1485,550,-,7%,3%
6,Delhi,41391,36525,4000,0,-,11%,0%
7,Goa,10642,4916,678,156,-,14%,3%
8,Gujarat,116366,71370,6550,2665,518,9%,4%
9,Haryana,62956,40200,3700,18,-,9%,0%
10,Himachal Pradesh,26270,7469,248,18,-,3%,0%
11,Jammu and Kashmir,50460,9220,325,9,-,4%,0%
12,Jharkhand,55756,17050,900,400,-,5%,2%
13,Karnataka,130758,83864,9100,236,-,11%,0%
14,Kerala,84617,47614,3469,206,164,7%,0%
15,Madhya Pradesh,126095,46500,4500,500,698,10%,1%
16,Maharashtra,220810,144157,23548,3200,-,16%,2%
17,Manipur,9368,667,11,3,-,2%,0%
18,Meghalaya,8981,1269,14,5,-,1%,0%
19,Mizoram,7672,331,9,12,-,3%,4%
20,Nagaland,10569,515,2,1,-,0%,0%
21,Odisha,78127,23200,1035,590,-,4%,3%
22,Puducherry,5768,2560,100,2,-,4%,0%
23,Punjab,50181,30547,2700,68,-,9%,0%
24,Rajasthan,123251,53300,4200,400,50,8%,1%
25,Sikkim,4885,646,8,7,-,1%,1%
26,Tamil Nadu,148175,90692,9858,315,18,11%,0%
27,Telangana,100925,54870,4292,16,78,8%,0%
28,Tripura,12886,1441,38,10,1,3%,1%
29,Uttarakhand,32276,12117,1202,27,-,10%,0%
30,Uttar Pradesh,281555,101257,16320,660,-,16%,1%
31,West Bengal,129530,50774,5199,2643,0,10%,5%
32,All states and UTs with legislature,2257382,1014302,108858,14081,1726,11%,1%
