,0,1,2,3,4,5,6,7
0,State/UT,Number of villages,Total number of maps,Maps in good condition (% of maps),Maps digitised (% of maps),Spatial data verified (% of villages),Cadastral Maps linked to RoR (% of villages),Real time updation of RoR and Maps (% of villages)
1,Andhra Pradesh,17563,315798,91.5%,56.6%,1.8%,1.9%,1.9%
2,Arunachal Pradesh,5590,-,-,-,-,-,-
3,Assam,26777,13426,100.0%,99.9%,50.1%,50.1%,50.1%
4,Bihar,46368,70669,99.9%,99.7%,89.8%,0.0%,0.0%
5,Chhattisgarh,20401,45447,97.3%,92.4%,90.3%,89.4%,88.9%
6,Goa,425,-,-,-,0.2%,0.2%,0.2%
7,Gujarat,18531,732256,90.3%,12.1%,41.5%,24.0%,8.9%
8,Haryana,7088,56095,93.8%,91.8%,0.4%,0.0%,0.8%
9,Himachal Pradesh,20694,140524,99.9%,99.8%,0.0%,34.3%,34.3%
10,Jammu & Kashmir,5733,-,-,-,0.0%,0.0%,0.0%
11,Jharkhand,32752,43558,65.1%,64.7%,58.0%,1.1%,0.0%
12,Karnataka,29523,,,,0.0%,0.0%,0.0%
13,Kerala,1674,104560,100.0%,94.5%,0.0%,0.0%,0.0%
14,Madhya Pradesh,55070,114194,97.8%,97.8%,87.0%,86.8%,87.0%
15,Maharashtra,44855,4926291,86.7%,3.6%,3.8%,0.0%,0.0%
16,Manipur,2743,-,-,-,-,-,-
17,Meghalaya,6822,-,-,-,-,-,-
18,Mizoram,826,-,-,-,-,-,-
19,Nagaland,1601,-,-,-,-,-,-
20,Odisha,51681,114779,100.0%,100.0%,99.7%,99.7%,0.0%
21,Punjab,12894,14386,96.6%,90.9%,16.7%,0.0%,0.0%
22,Rajasthan,47921,106810,85.7%,15.0%,2.0%,0.3%,0.8%
23,Sikkim,417,2549,100.0%,100.0%,97.1%,8.2%,8.2%
24,Tamil Nadu,16721,4325180,94.7%,91.2%,23.9%,5.6%,8.3%
25,Telangana,10829,18040,97.3%,86.5%,85.1%,0.8%,0.7%
26,Tripura,891,5266,100.0%,100.0%,99.8%,99.7%,0.0%
27,Uttarakhand,17126,33713,52.3%,0.0%,7.0%,0.0%,0.0%
28,Uttar Pradesh,109109,97970,78.0%,14.8%,12.1%,6.5%,4.0%
29,West Bengal,42191,65619,96.6%,90.7%,54.9%,48.4%,2.4%
30,Andaman & Nicobar Islands,209,1408,50.8%,13.1%,84.2%,43.5%,43.5%
31,Chandigarh,16,-,-,-,-,-,-
32,Dadra & Nagar Haveli,72,2271,100.0%,100.0%,100.0%,4.2%,4.2%
33,Daman & Diu,28,758,99.9%,-,-,-,-
34,Lakshadweep,24,-,-,-,0.0%,0.0%,0.0%
35,NCT of Delhi,207,-,-,-,-,-,-
36,Puducherry,130,4044,100.0%,100.0%,66.2%,0.0%,0.0%
37,Total,655502,11365611,91%,46%,39%,26%,15%
